tZq	1bJet23Jets	1	-0.0204151	0.0109188	-0.046014	0.0411628
tZq	1bJet23Jets	2	-0.0290964	0.0246394	0.0974715	-0.0218832
tZq	1bJet23Jets	3	-0.0333109	0.0268445	0.007216	0.0220475
tZq	1bJet23Jets	4	-0.0270949	0.0221899	0.0308855	0.00504633
tZq	1bJet23Jets	5	-0.0312527	0.0238484	-0.0343997	0.0198629
tZq	1bJet23Jets	6	-0.0231232	0.0170016	-0.0178181	0.0187682
tZq	1bJet23Jets	7	-0.0245646	0.019842	-0.00132748	0.00312427
tZq	1bJet23Jets	8	-0.0144052	0.0115798	0.0209591	-0.014219
tZq	1bJet23Jets	9	-0.0251918	0.0192781	-0.0185833	0.00521181
tZq	1bJet23Jets	10	-0.023793	0.0192667	-0.00465498	0.00386485
tZq	1bJet23Jets	11	-0.0247843	0.0190817	-0.0180688	0.0143017
tZq	1bJet23Jets	12	-0.0210461	0.0165127	-0.0354521	0.0205586
tZq	1bJet23Jets	13	-0.019563	0.0154545	0.00290498	0.00827163
tZq	1bJet23Jets	14	-0.0223193	0.0178284	-0.000805952	0.00975488
tZq	1bJet23Jets	15	-0.0172687	0.0134771	-0.0281505	0.0152618
tZq	1bJet4Jets	1	0.0253226	-0.0204921	0.414418	-0.114753
tZq	1bJet4Jets	2	0.114677	-0.0944612	0.070965	-0.0556266
tZq	1bJet4Jets	3	0.0334302	-0.0246131	-0.166514	0.0661973
tZq	1bJet4Jets	4	0.0877086	-0.0688007	0.156077	-0.0939889
tZq	1bJet4Jets	5	0.0140454	-0.0122112	0.0956342	-0.00713801
tZq	1bJet4Jets	6	0.0687426	-0.0556779	0.0311316	-0.0175008
tZq	1bJet4Jets	7	0.0946162	-0.0745414	-0.0480964	0.0809592
tZq	1bJet4Jets	8	0.0671125	-0.0513613	0.0990748	-0.0891096
tZq	1bJet4Jets	9	0.0747175	-0.0592374	0.0568894	-0.0335755
tZq	1bJet4Jets	10	0.0921103	-0.067868	-0.0551662	-0.00147386
tZq	1bJet4Jets	11	0.0661201	-0.0509926	-0.0172572	0.0134136
tZq	1bJet4Jets	12	0.0599	-0.048649	0.0939388	-0.035837
tZq	1bJet4Jets	13	0.0782394	-0.0600609	0.00208004	-0.00257164
tZq	1bJet4Jets	14	0.0551125	-0.0453872	-0.0310417	0.0198315
tZq	1bJet4Jets	15	0.0744293	-0.0585385	-0.0978071	0.0314594
tZq	2bJets	1	-0.000147408	-0.00749271	-0.268438	-0.0443629
tZq	2bJets	2	0.0201679	-0.0168777	0.015353	-0.0239094
tZq	2bJets	3	0.0605098	-0.046653	-0.0635076	0.0226545
tZq	2bJets	4	0.0060171	-0.00304628	-0.0420054	0.0330685
tZq	2bJets	5	0.0285837	-0.0221651	-0.0396585	0.0155849
