273730,369,413087303
274344,228,350068900
275375,173,190483198
275376,342,596835347
274422,500,873029221
276831,259,405585500
278406,567,908335980
278923,417,689868121
279823,148,165903788
279767,459,785142558
282800,1,514704
283885,666,1219177269
283358,273,497202840
282092,2139,3535161069
275125,611,1117254825
275310,343,624260215
276581,90,60628291
276831,524,907247499
276950,828,1512686435
283934,918,1582180214
278822,484,837399836
279667,184,218300410
278820,856,1571901641
276097,47,84134916
