316060,354,349517913
316717,44,53245803
316199,410,577900916
315557,206,226539993
315689,102,105673422
316114,97,109230558
315713,558,713832703
316457,1107,1259114069
317291,682,954011010
317340,114,147909017
317661,662,981848634
317626,592,883702127
321051,406,567276669
323778,226,438296091
320855,24,39127435
322322,682,1244478637
321909,651,1093069464
322179,1083,1855799325
320936,146,213997841
321755,134,184261844
322118,760,1369314087
321149,133,164577349
323727,139,258098986
323778,493,948864834
322322,912,1654539309
321415,66,107053283
321457,421,657756719
322602,15,28882594
323488,56,107269032
324077,386,656193261
323997,80,153942760
324245,987,1856266094
320023,176,256370066
320023,238,362258079
319579,2200,3454641909
323702,173,280481646
320824,665,1020446442
321140,119,185663755
321149,588,885504167
323778,436,842609964
325001,404,724698843
321167,655,1024691641
