%Name                           Path                                                                                                                                                                                                        Outputname      Number of subjobs   Cross-Section (pb)


HNL-e-m900                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-900_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-e-m900      Calc                7.010e-08
HNL-e-m1000                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1000_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                       HNL-e-m1000     Calc                4.302e-08  
HNL-e-m1200                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1200_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                       HNL-e-m1200     Calc                1.759e-08
HNL-e-m1500                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1500_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                       HNL-e-m1500     Calc                5.343e-09

HNL-mu-m10                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-10_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m10       Calc                8.419e-02
HNL-mu-m20                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-20_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m20       Calc                7.958e-02
HNL-mu-m30                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-30_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m30       Calc                8.150e-02
HNL-mu-m40                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-40_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m40       Calc                7.655e-02
HNL-mu-m50                       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-50_V-0p01_mu_LO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                        HNL-mu-m50       Calc                6.033e-02
