%Name                           Path                                                                                                                                                                                                        Outputname      Number of subjobs   Cross-Section (pb)


HNL-tauhad-m100                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-100_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m100      Calc                2.044e-04
HNL-tauhad-m125                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-125_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m125      Calc                1.168e-04
HNL-tauhad-m150                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-150_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m150      Calc                6.433e-05
HNL-tauhad-m200                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-200_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m200      Calc                2.353e-05
HNL-tauhad-m250                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-250_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m250      Calc                1.076e-05
%HNL-tauhad-m300                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-300_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m300      Calc                5.584e-06
HNL-tauhad-m350                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-350_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m350      Calc                3.202e-06
HNL-tauhad-m400                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-400_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m400      Calc                1.951e-06
HNL-tauhad-m450                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-450_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m450      Calc                1.254e-06
HNL-tauhad-m500                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-500_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m500      Calc                8.342e-07
HNL-tauhad-m600                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-600_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m600      Calc                4.053e-07
HNL-tauhad-m700                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-700_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m700      Calc                2.149e-07
HNL-tauhad-m800                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-800_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m800      Calc                1.207e-07
HNL-tauhad-m900                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-900_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                          HNL-tau-m900      Calc                7.159e-08
HNL-tauhad-m1000                 /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_M-1000_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                         HNL-tau-m1000     Calc                4.396e-08  

HNLvbf-e-m600                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-600_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                   HNL-e-m600       Calc                1.718e-07
HNLvbf-e-m700                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-700_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                   HNL-e-m700       Calc                1.254e-07
HNLvbf-e-m800                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-800_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                   HNL-e-m800       Calc                9.425e-08
HNLvbf-e-m900                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-900_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                   HNL-e-m900       Calc                7.131e-08
HNLvbf-e-m1000                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1000_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-e-m1000      Calc                5.503e-08
HNLvbf-e-m1200                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1200_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-e-m1200      Calc                3.351e-08
HNLvbf-e-m1500                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1500_V-0p01_e_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-e-m1500      Calc                1.669e-08
HNLvbf-mu-m600                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-600_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-mu-m600       Calc                1.706e-07
HNLvbf-mu-m700                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-700_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-mu-m700       Calc                1.254e-07
HNLvbf-mu-m800                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-800_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-mu-m800       Calc                9.433e-08
HNLvbf-mu-m900                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-900_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                  HNL-mu-m900       Calc                7.192e-08
HNLvbf-mu-m1000                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1000_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                 HNL-mu-m1000      Calc                5.503e-08
HNLvbf-mu-m1200                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1200_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                 HNL-mu-m1200      Calc                3.333e-08
HNLvbf-mu-m1500                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1500_V-0p01_mu_NLO_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                                 HNL-mu-m1500      Calc                1.676e-08
HNLvbf-taulep-m600               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-600_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3               HNL-tau-m600       Calc                2.444e-08
HNLvbf-taulep-m700               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-700_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3               HNL-tau-m700       Calc                1.833e-08
HNLvbf-taulep-m800               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-800_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3               HNL-tau-m800       Calc                1.380e-08
HNLvbf-taulep-m900               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-900_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3               HNL-tau-m900       Calc                1.047e-08
HNLvbf-taulep-m1000              /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1000_V-0p01_tau_NLO_triLightLepFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3              HNL-tau-m1000      Calc                8.092e-09
HNLvbf-tauhad-m600               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-600_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                      HNL-tau-m600       Calc                1.539e-07
HNLvbf-tauhad-m700               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-700_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                      HNL-tau-m700       Calc                1.155e-07
HNLvbf-tauhad-m800               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-800_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                      HNL-tau-m800       Calc                8.722e-08
HNLvbf-tauhad-m900               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-900_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                      HNL-tau-m900       Calc                6.609e-08
HNLvbf-tauhad-m1000              /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/HeavyNeutrino_trilepton_VBF_M-1000_V-0p01_tau_NLO_tauhFilter_TuneCP5_13TeV-madgraph-pythia8/crab_MiniAOD2018-v1_HNL_signal18v3                     HNL-tau-m1000      Calc                5.134e-08

%
%  Backgrounds
%

DYJetsToLL-M-10to50             /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                           XG              Calc                18610               
DYJetsToLL-M-50                 /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                               XG              Calc                6024

GluGluHToTauTau                 /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                               Other           Calc                3.0469
GluGluHToWWTo2L2Nu              /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluHToWWTo2L2Nu_M-125_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                           Other           Calc                1.001
GluGluHToZZTo4L                 /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                  ZZ-H           Calc                0.01212
GluGluHToZZTo2L2Q               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluHToZZTo2L2Q_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                ZZ-H           Calc                28.87
GluGluToContinToZZTo2e2mu       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                         ZZ-H              Calc                0.00319*1.7
GluGluToContinToZZTo2e2nu       /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo2e2nu_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                         ZZ-H              Calc                0.00319*1.7
GluGluToContinToZZTo2e2tau      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo2e2tau_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                        ZZ-H              Calc                0.00319*1.7
GluGluToContinToZZTo2mu2nu      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo2mu2nu_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                        ZZ-H              Calc                0.00319*1.7
GluGluToContinToZZTo2mu2tau     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo2mu2tau_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                       ZZ-H              Calc                0.00319*1.7
GluGluToContinToZZTo4e          /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                            ZZ-H              Calc                0.00159*1.7
GluGluToContinToZZTo4mu         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                           ZZ-H              Calc                0.00159*1.7
GluGluToContinToZZTo4tau        /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/GluGluToContinToZZTo4tau_TuneCP5_13TeV-mcfm701-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                          ZZ-H              Calc                0.00159*1.7

ST-s-channel                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                     TT-T+X              Calc                3.6806
ST-t-channel-antitop            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4    TT-T+X              Calc                80.95      
ST-t-channel-top                /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4        TT-T+X              Calc                136.2
ST-tW-antitop-5f                /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                   TT-T+X              Calc                35.85
ST-tW-top-5f                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                       TT-T+X              Calc                35.85      
ST-tW-antitop-5f-nofullhadr     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4             TT-T+X              Calc                19.467
ST-tW-top-5f-nofullhadr         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                 TT-T+X              Calc                19.467      

THQ                             /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                              TT-T+X              Calc                0.07096             
tZq                             /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                TT-T+X              Calc                 0.09418             

TTGJets                         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                              TT-T+X             Calc                3.6970
TTGamma-Dilep                   /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTGamma_Dilept_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                   TT-T+X             Calc                1.495*1.4852
TTGamma-SingleLep               /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTGamma_SingleLept_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                               TT-T+X             Calc                5.056*1.4852
TTGamma-Hadronic                /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTGamma_Hadronic_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                 TT-T+X             Calc                4.149*1.4852
TTHH                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTHH_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00067
TTTT                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTTT_TuneCP5_13TeV-amcatnlo-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.0091
TTTW                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTTW_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.0007314
TTWH                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTWH_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00114
TTWW                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTWW_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00698
TTWZ                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTWZ_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00198
TTZH                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTZH_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00153
TTZZ                            /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTZZ_TuneCP5_13TeV-madgraph-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                             TT-T+X             Calc                0.00198
ttZtoQQ                         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                          TT-T+X             Calc                0.5297              
ttZtoLL-m-10                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                 TT-T+X             Calc                0.2529              
ttWToLNu                        /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                         TT-T+X             Calc                0.2043
ttWtoQQ                         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                          TT-T+X             Calc                0.4062
ttHToNonbb                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ttHJetToNonbb_M125_TuneCP5_13TeV_amcatnloFXFX_madspin_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                   TT-T+X             Calc                0.2151
ttHTobb                         /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/ttHJetTobb_M125_TuneCP5_13TeV_amcatnloFXFX_madspin_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                      TT-T+X             Calc                0.2934

TTJets-Incl                     /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                                       TT-T+X              Calc                831.76
TTJets-Dilep                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                          TT-T+X              Calc                87.315
TTJets-SemiLep                  /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                   TT-T+X              Calc                364.352
TTJets-Had                      /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                       TT-T+X              Calc                380.095

VBFHToTauTau                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/VBFHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2_singlelepton_MC_2018_ULv4                                  Other           Calc                0.2371
VBFHToWW                        /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/VBFHToWWTo2L2Nu_M-125_TuneCP5_13TeV-powheg-jhugen727-pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                    Other           Calc                0.0897
VBFHToZZTo4L                    /pnfs/iihe/cms/store/user/lwezenbe/heavyNeutrino/VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8/crab_RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1_singlelepton_MC_2018_ULv4                    ZZ-H           Calc                0.001034
